Date,Open,High,Low,Close,Adj Close,Volume
2016-03-16,0.748839,0.749479,0.746052,0.748839,0.748839,0
2016-03-17,0.762323,0.772427,0.762137,0.762428,0.762428,0
2016-03-18,0.769906,0.773341,0.767336,0.770179,0.770179,0
2016-03-21,0.766442,0.767990,0.763889,0.766518,0.766518,0
2016-03-22,0.763825,0.767371,0.761232,0.763825,0.763825,0
2016-03-23,0.766401,0.767048,0.756974,0.766278,0.766278,0
2016-03-24,0.757146,0.757174,0.752123,0.757002,0.757002,0
2016-03-25,0.755287,0.756201,0.753676,0.754671,0.754671,0
2016-03-28,0.753262,0.758553,0.752848,0.753523,0.753523,0
2016-03-29,0.758985,0.761615,0.756750,0.759031,0.759031,0
2016-03-30,0.765515,0.774353,0.764584,0.765521,0.765521,0
2016-03-31,0.770713,0.777623,0.768645,0.770618,0.770618,0
2016-04-01,0.769823,0.771129,0.760803,0.769787,0.769787,0
2016-04-04,0.767042,0.768888,0.764468,0.767106,0.767106,0
2016-04-05,0.764818,0.764994,0.756676,0.764719,0.764719,0
2016-04-06,0.761093,0.765421,0.758478,0.760965,0.760965,0
2016-04-07,0.764584,0.768138,0.758714,0.764479,0.764479,0
2016-04-08,0.760879,0.772141,0.760879,0.761035,0.761035,0
2016-04-11,0.770469,0.775735,0.768421,0.770469,0.770469,0
2016-04-12,0.774713,0.781922,0.774066,0.774665,0.774665,0
2016-04-13,0.783141,0.784375,0.780123,0.783331,0.783331,0
2016-04-14,0.780336,0.782228,0.775422,0.780159,0.780159,0
2016-04-15,0.778616,0.781415,0.775422,0.778877,0.778877,0
2016-04-18,0.770535,0.781079,0.770001,0.770475,0.770475,0
2016-04-19,0.782993,0.791697,0.782173,0.783134,0.783134,0
2016-04-20,0.787836,0.793928,0.785620,0.787637,0.787637,0
2016-04-21,0.790826,0.791954,0.786176,0.790795,0.790795,0
2016-04-22,0.785867,0.792192,0.784012,0.785898,0.785898,0
2016-04-25,0.789297,0.790014,0.786473,0.789254,0.789254,0
2016-04-26,0.788780,0.792958,0.788395,0.788955,0.788955,0
2016-04-27,0.793084,0.795197,0.790127,0.793147,0.793147,0
2016-04-28,0.794824,0.798193,0.793437,0.794672,0.794672,0
2016-04-29,0.796876,0.800064,0.796514,0.796622,0.796622,0
2016-05-02,0.797448,0.799163,0.796147,0.797257,0.797257,0
2016-05-03,0.798021,0.802497,0.787402,0.798148,0.798148,0
2016-05-04,0.787402,0.787594,0.776181,0.787395,0.787395,0
2016-05-05,0.777605,0.782228,0.777122,0.777484,0.777484,0
2016-05-06,0.777853,0.779120,0.772260,0.778089,0.778089,0
2016-05-09,0.773264,0.774809,0.769272,0.773509,0.773509,0
2016-05-10,0.771653,0.773994,0.770511,0.771795,0.771795,0
2016-05-11,0.774209,0.779356,0.772744,0.774216,0.774216,0
2016-05-12,0.777544,0.782957,0.776578,0.777605,0.777605,0
2016-05-13,0.778689,0.778816,0.771855,0.778755,0.778755,0
2016-05-16,0.771724,0.776621,0.771533,0.771915,0.771915,0
2016-05-17,0.775206,0.778877,0.771950,0.775260,0.775260,0
2016-05-18,0.774833,0.774833,0.769740,0.774569,0.774569,0
2016-05-19,0.767625,0.767625,0.760370,0.767872,0.767872,0
2016-05-20,0.764053,0.764719,0.759850,0.764175,0.764175,0
2016-05-23,0.761963,0.763475,0.759129,0.761963,0.761963,0
2016-05-24,0.760630,0.764234,0.758374,0.760746,0.760746,0
2016-05-25,0.761847,0.766049,0.761464,0.761905,0.761905,0
2016-05-26,0.767342,0.774491,0.767283,0.767224,0.767224,0
2016-05-27,0.770748,0.771129,0.765386,0.770695,0.770695,0
2016-05-30,0.766401,0.767224,0.763744,0.766518,0.766518,0
2016-05-31,0.766854,0.768344,0.763353,0.766989,0.766989,0
2016-06-01,0.764859,0.766695,0.762253,0.764748,0.764748,0
2016-06-02,0.764994,0.766049,0.760937,0.764812,0.764812,0
2016-06-03,0.763592,0.774203,0.763190,0.763709,0.763709,0
2016-06-06,0.771795,0.779672,0.770315,0.771647,0.771647,0
2016-06-07,0.780518,0.783638,0.778980,0.780415,0.780415,0
2016-06-08,0.783822,0.790202,0.783822,0.783902,0.783902,0
2016-06-09,0.788277,0.789328,0.783496,0.788395,0.788395,0
2016-06-10,0.785262,0.789397,0.783840,0.785583,0.785583,0
2016-06-13,0.782558,0.784074,0.779685,0.782332,0.782332,0
2016-06-14,0.779320,0.780396,0.777001,0.779533,0.779533,0
2016-06-15,0.777544,0.779606,0.774090,0.777569,0.777569,0
2016-06-16,0.774629,0.775555,0.764310,0.774713,0.774713,0
2016-06-17,0.774371,0.779381,0.772660,0.774180,0.774180,0
2016-06-20,0.778216,0.782901,0.777847,0.778337,0.778337,0
2016-06-21,0.781372,0.783576,0.779837,0.781372,0.781372,0
2016-06-22,0.780829,0.784806,0.779010,0.781128,0.781128,0
2016-06-23,0.780439,0.788463,0.780226,0.780396,0.780396,0
2016-06-24,0.780135,0.780135,0.763668,0.779302,0.779302,0
2016-06-27,0.767807,0.769408,0.762323,0.767990,0.767990,0
2016-06-28,0.765345,0.771307,0.763143,0.765363,0.765363,0
2016-06-29,0.768090,0.770653,0.766871,0.768108,0.768108,0
2016-06-30,0.773156,0.774174,0.769349,0.773138,0.773138,0
2016-07-01,0.771742,0.777363,0.770838,0.771724,0.771724,0
2016-07-04,0.774557,0.779362,0.774395,0.774533,0.774533,0
2016-07-05,0.777103,0.778392,0.770832,0.777164,0.777164,0
2016-07-06,0.768935,0.771171,0.766066,0.768900,0.768900,0
2016-07-07,0.771403,0.776488,0.769900,0.771605,0.771605,0
2016-07-08,0.769361,0.769847,0.764053,0.769408,0.769408,0
2016-07-11,0.766354,0.767460,0.761209,0.766577,0.766577,0
2016-07-12,0.762195,0.769059,0.761481,0.762021,0.762021,0
2016-07-13,0.765867,0.772565,0.764526,0.765837,0.765837,0
2016-07-14,0.770707,0.774936,0.770707,0.770754,0.770754,0
2016-07-15,0.774653,0.777460,0.770826,0.774695,0.774695,0
2016-07-18,0.771849,0.773419,0.767937,0.771790,0.771790,0
2016-07-19,0.771700,0.771861,0.766201,0.771724,0.771724,0
2016-07-20,0.767648,0.768397,0.763674,0.767660,0.767660,0
2016-07-21,0.765140,0.767801,0.764965,0.765275,0.765275,0
2016-07-22,0.764853,0.765802,0.758472,0.764894,0.764894,0
